input,label,word_count
china currency remains pegged to the dollar and the us currency sharp falls in recent months have therefore made chinese export prices highly competitive,1.0,24.0
but calls for shift in beijing policy have fallen on deaf ears despite recent comments in major chinese newspaper that the time is ripe for loosening of the peg,0.0,29.0
the g7 meeting is thought unlikely to produce any meaningful movement in chinese policy,0.0,14.0
in the meantime the us federal reserve decision on february to boost interest rates by quarter of point the sixth such move in as many months has opened up differential with european rates,0.0,33.0
the half-point window some believe could be enough to keep us assets looking more attractive and could help prop up the dollar,0.0,22.0
the recent falls have partly been the result of big budget deficits as well as the us yawning current account gap both of which need to be funded by the buying of us bonds and assets by foreign firms and governments,1.0,41.0
the white house will announce its budget on monday and many commentators believe the deficit will remain at close to half trillion dollars,0.0,23.0
yukos unit buyer faces loan claim,0.0,6.0
the owners of embattled russian oil giant yukos are to ask the buyer of its former production unit to pay back 900m 479m loan,0.0,24.0
state-owned rosneft bought the yugansk unit for 9.3bn in sale forced by russia to part settle 27.5bn tax claim against yukos,1.0,21.0
yukos owner menatep group says it will ask rosneft to repay loan that yugansk had secured on its assets,1.0,19.0
rosneft already faces similar 540m repayment demand from foreign banks,0.0,10.0
legal experts said rosneft purchase of yugansk would include such obligations,0.0,11.0
the pledged assets are with rosneft so it will have to pay real money to the creditors to avoid seizure of yugansk assets said moscow-based us lawyer jamie firestone who is not connected to the case,1.0,36.0
menatep group managing director tim osborne told the reuters news agency if they default we will fight them where the rule of law exists under the international arbitration clauses of the credit,0.0,32.0
rosneft officials were unavailable for comment,0.0,6.0
but the company has said it intends to take action against menatep to recover some of the tax claims and debts owed by yugansk,1.0,24.0
yukos had filed for bankruptcy protection in us court in an attempt to prevent the forced sale of its main production arm,0.0,22.0
the sale went ahead in december and yugansk was sold to little-known shell company which in turn was bought by rosneft,1.0,21.0
yukos claims its downfall was punishment for the political ambitions of its founder mikhail khodorkovsky and has vowed to sue any participant in the sale,0.0,25.0
high fuel prices hit ba profits,0.0,6.0
british airways has blamed high fuel prices for 40 drop in profits,0.0,12.0
reporting its results for the three months to 31 december 2004 the airline made pre-tax profit of 75m 141m compared with 125m year earlier,0.0,24.0
rod eddington ba chief executive said the results were respectable in third quarter when fuel costs rose by 106m or 47.3,1.0,21.0
ba profits were still better than market expectation of 59m and it expects rise in full-year revenues,1.0,17.0
to help offset the increased price of aviation fuel ba last year introduced fuel surcharge for passengers,1.0,17.0
in october it increased this from to 10 one-way for all long-haul flights while the short-haul surcharge was raised from 2.50 to leg,0.0,23.0
yet aviation analyst mike powell of dresdner kleinwort wasserstein says ba estimated annual surcharge revenues 160m will still be way short of its additional fuel costs predicted extra 250m,1.0,29.0
turnover for the quarter was up 4.3 to 1.97bn further benefiting from rise in cargo revenue,0.0,16.0
looking ahead to its full year results to march 2005 ba warned that yields average revenues per passenger were expected to decline as it continues to lower prices in the face of competition from low-cost carriers,1.0,36.0
however it said sales would be better than previously forecast,0.0,10.0
for the year to march 2005 the total revenue outlook is slightly better than previous guidance with to 3.5 improvement anticipated ba chairman martin broughton said,1.0,26.0
ba had previously forecast to rise in full-year revenue,1.0,9.0
it also reported on friday that passenger numbers rose 8.1 in january,0.0,12.0
aviation analyst nick van den brul of bnp paribas described ba latest quarterly results as pretty modest,0.0,17.0
it is quite good on the revenue side and it shows the impact of fuel surcharges and positive cargo development however operating margins down and cost impact of fuel are very strong he said,1.0,34.0
"since the 11 september 2001 attacks in the united states ba has cut 13,000 jobs as part of major cost-cutting drive",0.0,21.0
our focus remains on reducing controllable costs and debt whilst continuing to invest in our products mr eddington said,0.0,19.0
for example we have taken delivery of six airbus a321 aircraft and next month we will start further improvements to our club world flat beds,0.0,25.0
ba shares closed up four pence at 274.5 pence,0.0,9.0
shares in uk drinks and food firm allied domecq have risen on speculation that it could be the target of takeover by france pernod ricard,1.0,25.0
reports in the wall street journal and the financial times suggested that the french spirits firm is considering bid but has yet to contact its target,0.0,26.0
allied domecq shares in london rose by 1200 gmt while pernod shares in paris slipped 1.2,1.0,16.0
pernod said it was seeking acquisitions but refused to comment on specifics,1.0,12.0
pernod last major purchase was third of us giant seagram in 2000 the move which propelled it into the global top three of drinks firms,0.0,25.0
the other two-thirds of seagram was bought by market leader diageo,0.0,11.0
in terms of market value pernod at 7.5bn euros 9.7bn is about smaller than allied domecq which has capitalisation of 5.7bn 10.7bn 8.2bn euros,1.0,24.0
last year pernod tried to buy glenmorangie one of scotland premier whisky firms but lost out to luxury goods firm lvmh,0.0,21.0
pernod is home to brands including chivas regal scotch whisky havana club rum and jacob creek wine,0.0,17.0
allied domecq big names include malibu rum courvoisier brandy stolichnaya vodka and ballantine whisky as well as snack food chains such as dunkin donuts and baskin-robbins ice cream,0.0,28.0
the wsj said that the two were ripe for consolidation having each dealt with problematic parts of their portfolio,0.0,19.0
pernod has reduced the debt it took on to fund the seagram purchase to just 1.8bn euros while allied has improved the performance of its fast-food chains,1.0,27.0
japan economy teetered on the brink of technical recession in the three months to september figures show,1.0,17.0
revised figures indicated growth of just 0.1 and similar-sized contraction in the previous quarter,1.0,14.0
on an annual basis the data suggests annual growth of just 0.2 suggesting much more hesitant recovery than had previously been thought,1.0,22.0
common technical definition of recession is two successive quarters of negative growth,1.0,12.0
the government was keen to play down the worrying implications of the data,0.0,13.0
maintain the view that japan economy remains in minor adjustment phase in an upward climb and we will monitor developments carefully said economy minister heizo takenaka,0.0,26.0
but in the face of the strengthening yen making exports less competitive and indications of weakening economic conditions ahead observers were less sanguine,0.0,23.0
it painting picture of recovery much patchier than previously thought said paul sheard economist at lehman brothers in tokyo,0.0,19.0
improvements in the job market apparently have yet to feed through to domestic demand with private consumption up just 0.2 in the third quarter,0.0,24.0
jobs growth still slow in the us,0.0,7.0
the us created fewer jobs than expected in january but fall in jobseekers pushed the unemployment rate to its lowest level in three years,1.0,24.0
"according to labor department figures us firms added only 146,000 jobs in january",0.0,13.0
"the gain in non-farm payrolls was below market expectations of 190,000 new jobs",0.0,13.0
nevertheless it was enough to push down the unemployment rate to 5.2 its lowest level since september 2001,0.0,18.0
the job gains mean that president bush can celebrate albeit by very fine margin net growth in jobs in the us economy in his first term in office,1.0,28.0
he presided over net fall in jobs up to last november presidential election the first president to do so since herbert hoover,1.0,22.0
as result job creation became key issue in last year election,0.0,11.0
however when adding december and january figures the administration first term jobs record ended in positive territory,0.0,17.0
"the labor department also said it had revised down the jobs gains in december 2004 from 157,000 to 133,000",1.0,19.0
analysts said the growth in new jobs was not as strong as could be expected given the favourable economic conditions,1.0,20.0
it suggests that employment is continuing to expand at moderate pace said rick egelton deputy chief economist at bmo financial group,0.0,21.0
we are not getting the boost to employment that we would have got given the low value of the dollar and the still relatively low interest rate environment,0.0,28.0
the economy is producing moderate but not satisfying amount of job growth said ken mayland president of clearview economics,1.0,19.0
that means there are limited number of new opportunities for workers,0.0,11.0
india calls for fair trade rules,0.0,6.0
india which attends the g7 meeting of seven leading industrialised nations on friday is unlikely to be cowed by its newcomer status,0.0,22.0
in london on thursday ahead of the meeting india finance minister lashed out at the restrictive trade policies of the g7 nations,1.0,22.0
he objected to subsidies on agriculture that make it hard for developing nations like india to compete,0.0,17.0
he also called for reform of the united nations the world bank and the imf,0.0,15.0
palaniappan chidambaram india finance minister argued that these organisations need to take into account the changing world order given india and china integration into the global economy,1.0,27.0
he said the issue is not globalisation but the terms of engagement in globalisation,0.0,14.0
mr chidambaram is attending the g7 meeting as part of the g20 group of nations which account for two thirds of the world population,1.0,24.0
at conference on developing enterprise hosted by uk finance minister gordon brown on friday he said that he was in favour of floating exchange rates because they help countries cope with economic shocks,1.0,33.0
flexible exchange rate is one more channel for absorbing both positive and negative shocks he told the conference,0.0,18.0
india along with china brazil south africa and russia has been invited to take part in the g7 meeting taking place in london on friday and saturday,1.0,27.0
china is expected to face renewed pressure to abandon its fixed exchange rate which g7 nations in particular the us have blamed for surge in cheap chinese exports,1.0,28.0
some countries have tried to use fixed exchange rates,0.0,9.0
do not wish to make any judgements mr chidambaram said,0.0,10.0
separately the imf warned on thursday that india budget deficit was too large and would hamper the country economic growth which it forecast to be around 6.5 in the year to march 2005,0.0,33.0
in the year to march 2004 the indian economy grew by 8.5,0.0,12.0
ethiopia produced 14.27 million tonnes of crops in 2004 24 higher than in 2003 and 21 more than the average of the past five years report says,0.0,27.0
in 2003 crop production totalled 11.49 million tonnes the joint report from the food and agriculture organisation and the world food programme said,1.0,23.0
good rains increased use of fertilizers and improved seeds contributed to the rise in production,0.0,15.0
nevertheless 2.2 million ethiopians will still need emergency assistance,0.0,9.0
"the report calculated emergency food requirements for 2005 to be 387,500 tonnes",1.0,12.0
"on top of that 89,000 tonnes of fortified blended food and vegetable oil for targeted supplementary food distributions for survival programme for children under five and pregnant and lactating women will be needed",1.0,33.0
in eastern and southern ethiopia prolonged drought has killed crops and drained wells,0.0,13.0
"last year total of 965,000 tonnes of food assistance was needed to help seven million ethiopians",1.0,16.0
the food and agriculture organisation fao recommend that the food assistance is bought locally,1.0,14.0
local purchase of cereals for food assistance programmes is recommended as far as possible so as to assist domestic markets and farmers said henri josserand chief of fao global information and early warning system,0.0,34.0
agriculture is the main economic activity in ethiopia representing 45 of gross domestic product,0.0,14.0
about 80 of ethiopians depend directly or indirectly on agriculture,0.0,10.0
us government claim accusing the country biggest tobacco companies of covering up the effects of smoking has been thrown out by an appeal court,1.0,24.0
the demand for 280bn 155bn filed by the clinton administration in 1999 was rejected in 2-1 decision,0.0,17.0
the court in washington found that the case could not be brought under federal anti-racketeering laws,0.0,16.0
among the accused were altria group rj reynolds tobacco lorillard tobacco liggett group and brown and williamson,0.0,17.0
in its case the government claimed tobacco firms manipulated nicotine levels to increase addiction targeted teenagers with multi-billion dollar advertising campaigns lied about the dangers of smoking and ignored research to the contrary,1.0,33.0
prosecutors wanted the cigarette firms to surrender 280bn in profits accumulated over the past 50 years and impose tougher rules on marketing their products,0.0,24.0
but the court of appeals for the district of columbia ruled that the us government could not sue the firms under legislation drawn up to counteract mafia infiltration of business,0.0,30.0
the tobacco companies deny that they illegally conspired to promote smoking and defraud the public,1.0,15.0
they also say they have already met many of the government demands in landmark 206bn settlement reached with 46 states in 1998,0.0,22.0
shares of tobacco companies closed higher after the ruling with altria rising and reynolds showing gains of 4.5,1.0,18.0
ask jeeves tips online ad revival,0.0,6.0
ask jeeves has become the third leading online search firm this week to thank revival in internet advertising for improving fortunes,1.0,21.0
the firm revenue nearly tripled in the fourth quarter of 2004 exceeding 86m 46m,0.0,14.0
ask jeeves once among the best-known names on the web is now relatively modest player,1.0,15.0
its 17m profit for the quarter was dwarfed by the 204m announced by rival google earlier in the week,1.0,19.0
during the same quarter yahoo earned 187m again tipping resurgence in online advertising,1.0,13.0
the trend has taken hold relatively quickly,0.0,7.0
late last year marketing company doubleclick one of the leading providers of online advertising warned that some or all of its business would have to be put up for sale,0.0,30.0
but on thursday it announced that sharp turnaround had brought about an unexpected increase in profits,0.0,16.0
neither ask jeeves nor doubleclick thrilled investors with their profit news however,1.0,12.0
in both cases their shares fell by some,0.0,8.0
analysts attributed the falls to excessive expectations in some quarters fuelled by the dramatic outperformance of google on tuesday,0.0,19.0
indonesia government has confirmed it is considering raising fuel prices by as much as 30,1.0,15.0
millions of indonesians use kerosene for basic cooking and prices have been heavily subsidised for years,0.0,16.0
president susilo bambang yudhoyono government has said it wants to curb fuel subsidies and direct the money into aid programmes for the poor,1.0,23.0
but critics argue cutting subsidies will hurt the poorer families that his government says it wants to help,1.0,18.0
millions of people were left homeless in indonesia aceh region following the earthquake and tsunami disaster in late december,0.0,19.0
indonesia pays subsidies to importers in order to stabilise domestic fuel prices but higher oil prices have forced the government to spend more on holding prices down,1.0,27.0
it spent 59.2 trillion rupiah 6.58bn 3.5bn on fuel subsidies in 2004 sum far in excess of its original projection of 14.5 trillion rupiah,0.0,24.0
since president yudhoyono government came to power in october it has indicated its intention of raising domestic fuel prices by cutting subsidies,1.0,22.0
the january to march quarter of this year is the best time for us to increase fuel prices said sri mulyani indrawati state minister for national development planning,0.0,28.0
we are still considering if 30 hike is suitable at the moment,0.0,12.0
the sooner the better for the state budget,0.0,8.0
the bbc correspondent in jakarta rachel harvey told world business report that there was likely to be strong public reaction to any price rise,0.0,24.0
the big question is whether they go for one big short sharp shock and raise prices between 20 and 30 or whether they try to stagger it she said,0.0,29.0
indonesia previous government led by president megawati sukarnoputri also attempted to cut subsidies in 2003 but was forced to back down in the face of public protests,1.0,27.0
"struggling japanese car maker mitsubishi motors has struck deal to supply french car maker peugeot with 30,000 sports utility vehicles suv",1.0,21.0
the two firms signed memorandum of understanding and say they expect to seal final agreement by spring 2005,0.0,18.0
the alliance comes as badly-needed boost for loss-making mitsubishi after several profit warnings and poor sales,0.0,16.0
the suvs will be built in japan using peugeot diesel engines and sold mainly in the european market,0.0,18.0
falling sales have left mitsubishi motors with underused capacity and the production deal with peugeot gives it chance to utilise some of it,1.0,23.0
in january mitsubishi motors issued its third profits warning in nine months and cut its sales forecasts for the year to march 2005,1.0,23.0
its sales have slid 41 in the past year catalysed by the revelation that the company had systematically been hiding records of faults and then secretly repairing vehicles,0.0,28.0
as result the japanese car maker has sought series of financial bailouts,1.0,12.0
last month it said it was looking for further 540bn yen 5.2bn 2.77bn in fresh financial backing half of it from other companies in the mitsubishi group,0.0,27.0
us-german carmaker daimlerchrylser 30 shareholder in mitsubishi motors decided in april 2004 not to pump in any more money,0.0,19.0
the deal with peugeot was celebrated by mitsubishi newly-appointed chief executive takashi nishioka who took over after three top bosses stood down last month to shoulder responsibility for the firm troubles,0.0,31.0
mitsubishi motors has forecast net loss of 472bn yen in its current financial year to march 2005,1.0,17.0
"last month it signed production agreement with japanese rival nissan motor to supply it with 36,000 small cars for sale in japan",1.0,22.0
it has been making cars for nissan since 2003,0.0,9.0
the daily and sunday telegraph newspapers are axing 90 journalist jobs 17 of their editorial staff,1.0,16.0
the telegraph group says the cuts are needed to fund an 150m investment in new printing facilities,1.0,17.0
journalists at the firm met on friday afternoon to discuss how to react to the surprise announcement,0.0,17.0
the cuts come against background of fierce competition for readers and sluggish advertising revenues amid competition from online advertising,0.0,19.0
the national union of journalists has called on the management to recall the notice of redundancy by midday on monday or face strike ballot,0.0,24.0
pearson financial times said last week it was offering voluntary redundancy to about 30 reporters,0.0,15.0
the national union of journalists said it stood strongly behind the journalists and did not rule out strike,1.0,18.0
managers have torn up agreed procedures and kicked staff in the teeth by sacking people to pay for printing facilities said jeremy dear nuj general secretary,0.0,26.0
nuj official barry fitzpatrick said the company had ignored the 90-day consultation period required for companies planning more than 10 redundancies,1.0,21.0
they have shown complete disregard for the consultative rights of our members said mr fitzpatrick who added that the company now planned to observe the consultation procedures,0.0,27.0
the two telegraph titles currently employ 521 journalists,1.0,8.0
some broadsheet newspapers especially those which have not moved to tabloid format have suffered circulation declines which are hitting revenues,0.0,20.0
the telegraph has announced no plans to go tabloid although both the independent and the times have seen circulation rise since shrinking in size,1.0,24.0
the guardian is hedging its bets planning larger tabloid format like those popular in continental europe,0.0,16.0
the telegraph group was bought by the barclay twins frederick and david last year having previously been owned by lord conrad black hollinger international,0.0,24.0
the brothers are currently mulling the sale of another of their businesses retailer littlewoods,0.0,14.0
telegraph executive murdoch maclennan said the two newspapers would add eight colour pages in the coming months,1.0,17.0
journalists are the lifeblood of any newspaper and maintaining the quality of the daily telegraph and the sunday telegraph for our readers is vital he said,1.0,26.0
however action to improve our production capability and secure our titles against the competition is also vital,0.0,17.0
many newspapers are investing in new printing machinery that enables them to print more colour pages or in some cases have colour on every page,1.0,25.0
they are hoping that by boosting colour it will make their publications more attractive to advertisers and readers alike,0.0,19.0
in recent months news corp news international unit which publishes the sun and the news of the world the guardian media group trinity mirror and the daily mail general trust have all announced substantial investments in new printing plants,0.0,39.0
air passengers win new eu rights,0.0,6.0
air passengers who are unable to board their flights because of overbooking cancellations or flight delays can now demand greater compensation,1.0,21.0
new eu rules set compensation at between 250 euros 173 and 600 euros depending on the length of the flight,0.0,20.0
the new rules will apply to all scheduled and charter flights including budget airlines,0.0,14.0
airlines have attacked the legislation saying they could be forced to push prices higher to cover the extra cost,0.0,19.0
the european commission is facing two legal challenges one from the european low-fare airlines association elaa and the other from the international air transport association iata which has attacked the package as bad piece of legislation,0.0,36.0
previously passengers could claim between 150 euros and 300 euros if they had been stopped from boarding,0.0,17.0
however only scheduled flight operators were obliged to offer compensation in cases of overbooking and they did not have to offer compensation for flight cancellations,1.0,25.0
the eu decided to increase passenger compensation in bid to deter airlines from deliberately overbooking flights,1.0,16.0
overbooking can often lead to bumping when passenger is moved to later flight,0.0,13.0
when this happens against passenger will airlines will now have to offer compensation,1.0,13.0
in addition if flight is cancelled or delayed for more than two hours through the fault of the airline all passengers must be paid compensation,1.0,25.0
however airlines do not have to offer compensation if flights are cancelled or delayed due to extraordinary circumstances,1.0,18.0
airlines fear that extraordinary circumstances may not include bad weather security alerts or strikes events which are outside of their control,0.0,21.0
all eu-based airlines and operators of flights which take off from the eu will have to adhere to the new compensation regime which came into force on thursday,1.0,28.0
low-cost airlines have criticised the new compensation levels arguing that the pay-out could be worth more than the ticket,1.0,19.0
it preposterous piece of legislation we among all airlines are fighting this ryanair deputy chief executive michael cawley told radio today programme,0.0,22.0
the european regions airline association eraa claims that neither airlines nor consumers were consulted over the changes,0.0,17.0
andy clarke eraa director of air transport said that the ec advice misleads customers as it leads them to believe that airlines could be liable for payouts if flights are delayed because of bad weather,1.0,35.0
ec spokeswoman marja quillinan-meiland conceded there were grey areas but said these are not as big as the airlines are making out,0.0,22.0
in cases of dispute national enforcement bodies would decide whether the passenger had case she said,0.0,16.0
new technology means it is easier for airlines to take off and land in bad weather she added,1.0,18.0
the eraa mr clarke also warned that while airlines would comply with the new rules the extra costs would be passed onto passengers,0.0,23.0
we reckon it going to cost european air passengers not the airlines the airlines have no money it has to be paid by passengers 1.5bn euros that over 1bn year loaded onto european passengers mr clarke said,1.0,37.0
that basically transfer of money from passengers whose journeys are not disrupted to passengers whose journeys are disrupted,0.0,18.0
on wednesday jacques barrot vice president of the european commission and also commissioner for transport said that the changes were necessary,0.0,21.0
the boom in air travel needs to be accompanied by proper protection of passengers right,0.0,15.0
this is concrete example of how the union benefits people daily lives he added,0.0,14.0
the ec has launched an information campaign in airports and travel agencies to inform airline passengers of their new rights,1.0,20.0
china keeps tight rein on credit,0.0,6.0
china efforts to stop the economy from overheating by clamping down on credit will continue into 2005 state media report,0.0,20.0
the curbs were introduced earlier this year to ward off the risk that rapid expansion might lead to soaring prices,1.0,20.0
there were also fears that too much stress might be placed on the fragile banking system,0.0,16.0
growth in china remains at breakneck 9.1 and corporate investment is growing at more than 25 year,1.0,17.0
the breakneck pace of economic expansion has kept growth above for more than year,1.0,14.0
rapid tooling-up of china manufacturing sector means massive demand for energy one of the factors which has kept world oil prices sky-high for most of this year,1.0,27.0
in theory the government has growth target but continues to insist that the overshoot does not mean hard landing in the shape of an overbalancing economy,1.0,26.0
low exchange rate china yuan is pegged to rate of 8.28 to the dollar which seems to be in relentless decline means chinese exports are cheap on world markets,0.0,29.0
china has thus far resisted international pressure to break the link or at least to shift the level of its peg,0.0,21.0
to some extent the credit controls do seem to be taking effect,0.0,12.0
industrial output grew 15.7 in the year to october down from 23 in february and inflation slowed to 4.3 although retail sales are still booming,0.0,25.0
parmalat the italian food group at the centre of one of europe most painful corporate scandals has reported doubling in profit,0.0,21.0
its pre-tax earnings in the fourth quarter were 77m euros 53m 100m up from 38m in the same period of 2003,0.0,21.0
less welcome was the news that the firm had been fined 11m euros for having violated takeover rules five years ago,0.0,21.0
the firm sought bankruptcy protection in december 2003 after disclosing 4bn-euro hole in its accounts,0.0,15.0
overall the company debt is close to 12bn euros and is falling only slowly,1.0,14.0
its brands well-known in italy and overseas have continued to perform strongly however and have barely lost revenue since the scandal broke,0.0,22.0
but crucial factor for the company future is the legal unwinding of its intensely complex financial position,0.0,17.0
on tuesday the company administrator turnaround expert enrico bondi sued morgan stanley its former banker to return 136m euros relating to 2003 bond deal,1.0,24.0
that brought to 49 the number of banks that mr bondi has sued mass of legal action that could bring in as much as 3bn euros,1.0,26.0
the company has also sued former auditors and financial advisors for damages,1.0,12.0
and criminal cases against the company former management are proceeding separately,1.0,11.0
india rupee has hit five-year high after standard poor raised the country foreign currency rating,1.0,15.0
the rupee climbed to 43.305 per us dollar on thursday up from close of 43.41,0.0,15.0
the currency has gained almost in the past three sessions,1.0,10.0
which rates borrowers creditworthiness lifted india rating by one notch to bb,1.0,12.0
with indian assets now seen as less of gamble more cash is expected to flow into its markets buoying the rupee,0.0,21.0
the upgrade is positive and basically people will use it as an excuse to come back to india said bhanu baweja strategist at ubs,0.0,24.0
money has moved out from india in the first two or three weeks of january into other markets like korea and thailand and this upgrade should lead to reversal,0.0,29.0
india foreign currency rating is now one notch below investment grade which starts at bbb-,1.0,15.0
the increase has put it on the same level as romania egypt and el salvador and one level below russia,0.0,20.0
india has raised the limit for foreign direct investment in telecoms companies from 49 to 74,1.0,16.0
communications minister dayanidhi maran said that there is need to fund the fast-growing mobile market,1.0,15.0
the government hopes to increase the number of mobile users from 95 million to between 200 and 250 million by 2007,0.0,21.0
we need at least 20bn 10.6bn in investment and part of this has to come as foreign direct investment said mr maran,1.0,22.0
the decision to raise the limit for foreign investors faced considerable opposition from the communist parties which give crucial support to the coalition headed by prime minister manmohan singh,0.0,29.0
potential foreign investors will however need government approval before they increase their stake beyond 49 mr maran said,1.0,18.0
key positions such as those of chief executive chief technology officer and chief financial officer are to be held by indians he added,0.0,23.0
analysts and investors have welcomed the government decision,0.0,8.0
it is positive development for carriers and the investment community looking to take longer-term view of the huge growth in the indian telecoms market said gartner principal analyst kobita desai,0.0,30.0
the fdi relaxation coupled with rapid local market growth could really ignite interest in the indian telecommunication industry added ernst and young sanjay mehta,0.0,24.0
investment bank morgan stanley has forecast that india mobile market is likely to grow by about 40 year until 2007,1.0,20.0
the indian mobile market is currently dominated by four companies bharti televentures which has allied itself with singapore telecom essar which is linked with hong kong-based hutchison whampoa the sterling group and the tata group,0.0,35.0
customers trying to get through to call centres are getting impatient and quicker to hang up survey suggests,1.0,18.0
once past the welcome message callers on average hang up after just 65 seconds of listening to canned music,0.0,19.0
the drop in patience comes as the number of calls to call centres is growing at rate of 20 every year,1.0,21.0
customers are getting used to the idea of an always available society says cara diemont of it firm dimension data which commissioned the survey,0.0,24.0
however call centres also saw sharp increase of customers simply abandoning calls she says from just over in 2003 to record 13.3 during last year,1.0,25.0
when automated phone message systems are taken out of the equation where customers have to pick their way through multiple options and messages the number of abandoned calls is even higher sixth of all callers give up rather than wait,0.0,40.0
one possible reason for the lack in patience ms diemont says is the fact that more customers are calling on the move using their mobile phones,0.0,26.0
the surge in customers trying to get through to call centres is also reflection of the centres growing range of tasks,1.0,21.0
once call centre may have looked after mortgages now its agents may also be responsible for credit cards insurance and current accounts ms diemont says,0.0,25.0
problems are occurring because increased responsibility is not going hand-in-hand with more training the survey found,0.0,16.0
in what dimension data calls an alarming development the average induction time for call centre worker fell last year from 36 to just 21 days leaving agents not equipped to deal with customers,1.0,33.0
this ms diemont warns is scary and not good for the bottom line either,0.0,14.0
poor training frustrates both call centre workers and customers,1.0,9.0
as result call centres have high churn rate with nearly quarter of workers throwing in the towel every year which in turn forces companies to pay for training new staff,1.0,30.0
resolution rates the number of calls where customer query is resolved to mutual satisfaction are running at just 50,0.0,19.0
when the query is passed on to second or third person specialist or manager rates rise to about 70 but that is still well below the industry target of an 85 resolution rate,0.0,33.0
suggestions that outsourcing relocating call centres to low-cost countries like india or south africa is to blame are wrong ms diemont says,1.0,22.0
there are no big differences in wait time and call resolution between call centres based in europe or north america and those in developing countries around the world,1.0,28.0
you can make call centres perform anywhere if you have good management and the right processes in place she says,0.0,20.0
however companies that decide to offshore their operations are driven not just by cost considerations,0.0,15.0
only 42 of them say that saving money is the main consideration when closing domestic call centre operations,0.0,18.0
half of them argue that workers in other countries offer better skills for the money,0.0,15.0
but not everybody believes that outsourcing and offshoring are the solution,0.0,11.0
nearly two-thirds of all firms polled for the survey have no plans to offshore their call centres,0.0,17.0
they give three key reasons for not making the move,0.0,10.0
call centre operations are part of their business core function,0.0,10.0
they are worried about the risk of going abroad,0.0,9.0
they fear that they will damage their brand if they join the offshoring drive,0.0,14.0
the survey was conducted by sunovate on behalf of dimension data and is based on in-depth questionnaires of 166 call centres in 24 countries and five continents,1.0,27.0
what are your experiences with call centres,1.0,7.0
are you happy to listen to vivaldi or greensleeves or do you want an immediate response,0.0,16.0
and if you work in call centre did your training prepare you for your job,1.0,15.0
rank set to sell off film unit,0.0,7.0
leisure group rank could unveil plans to demerge its film services unit and sell its media business reports claim,1.0,19.0
rank formerly famous for the carry on series will expose the shake-up at the announcement of its results on friday the sunday telegraph reported,0.0,24.0
advisors goldman sachs are understood to have valued its demerged deluxe film unit at 300m the report added,0.0,18.0
speculation of possible shake-up has mounted since rank announced study into possible demerger in september,1.0,15.0
since mike smith appointment as chief executive in 1999 the group has focused on fewer businesses and embarked on major cost-cutting programme which has seen it dispose of number of businesses including the odeon cinema chain and the pinewood studios,1.0,40.0
