article,summary
"Johnny Cash manager Holiff dies

The former manager of Johnny Cash, Saul Israel Holiff, has died at the age of 79, his family said.

Mr Holiff, who was also a concert promoter, managed Cash's career between 1960 and 1973, quitting when he thought the singer's career had peaked. ""I was guilty for underestimating him repeatedly,"" he once said. The Canadian music manager, who also managed Tommy Hunter and the Statler Brothers, had been in declining health, according to his family. An entrepreneur from an early age, Mr Holiff served as a rear air gunner in the Royal Canadian Air Force during World War II, afterwards setting up a drive-in restaurant. He briefly dabbled in acting, before setting up offices in Nashville and Los Angeles for his concert and artist promotion business. In 1970, RPM weekly magazine presented Holiff with a special award as the Canadian music industry's man of the year. Mr Holiff retired when he was in his late 40s, returning to education as a mature student at the University of Victoria, where he graduated with a degree in history. He passed away on 17 March. According to his wishes, there will be no funeral service.","Johnny Cash manager Holiff dies The former manager of Johnny Cash, Saul Israel Holiff, has died at the age of 79, his family said. ""I was guilty for underestimating him repeatedly,"" he once said. He briefly dabbled in acting, before setting up offices in Nashville and Los Angeles for his concert and artist promotion business. In 1970, RPM weekly magazine presented Holiff with a special award as the Canadian music industry's man of the year."
"UK 'world's biggest music buyer'

UK consumers are the biggest music buyers in the world, according to new figures released on Tuesday by the British Phonographic Industry (BPI).

But global sales of recorded music were flat in 2004, with growing sales in DVD music videos offset by online and physical piracy in major markets. The UK music industry recorded an overall 3% increase in volume sales, mostly due to its robust albums market. However, world music sales declined by 1.3% to $33.6 billion (£17.7 billion). The UK CD albums market grew by 4.5% in 2004 with a record 174.6 million units sold. On average every Briton buys 3.2 CDs per person per year.

Around 26,000 albums are released in the UK each year, making Britain second only to the US in terms of the number of releases. Overall sales were driven by new UK-signed artists such as Keane, Katie Melua and Scissor Sisters, whose debut album sold almost 1.6 million copies in the UK. ""A slew of great new British artists have met UK music fans' demand for great music,"" said BPI chairman Peter Jameson. The best-selling album globally was Usher's Confessions - one of eight albums to sell more than five million copies in 2004.

The growth in the DVD market and a sharp increase in sales of digital music ensured a strong market in the US. The total number of tracks downloaded last year were up more than tenfold on 2003. Digital sales in the US in the first two months of 2005 are already more than double that of the same period in 2004.

However, some markets in Continental Europe and Asia - notably Sweden, Finland, France, Spain and South Korea - have been drastically hit by internet piracy. Australia, Italy and the Netherlands also saw a decline. ""On the positive side digital sales are booming,"" said John Kennedy, chief executive of the International Federation of Phonographic Industries (IFPI). ""However, commercial piracy and illegal file-sharing are continuing to depress our markets. ""The priority in the coming year is to step up the advance of legitimate digital sales and sustain our anti-piracy efforts."" ""The main choice today's music fan now has to make is whether to get music legally or illegally,"" added Mr Jameson.","UK 'world's biggest music buyer' UK consumers are the biggest music buyers in the world, according to new figures released on Tuesday by the British Phonographic Industry (BPI). But global sales of recorded music were flat in 2004, with growing sales in DVD music videos offset by online and physical piracy in major markets. However, world music sales declined by 1.3% to $33.6 billion (£17.7 billion). On average every Briton buys 3.2 CDs per person per year. Overall sales were driven by new UK-signed artists such as Keane, Katie Melua and Scissor Sisters, whose debut album sold almost 1.6 million copies in the UK. ""A slew of great new British artists have met UK music fans' demand for great music,"" said BPI chairman Peter Jameson. The best-selling album globally was Usher's Confessions - one of eight albums to sell more than five million copies in 2004. The growth in the DVD market and a sharp increase in sales of digital music ensured a strong market in the US. Australia, Italy and the Netherlands also saw a decline. ""However, commercial piracy and illegal file-sharing are continuing to depress our markets. ""The priority in the coming year is to step up the advance of legitimate digital sales and sustain our anti-piracy efforts."""
"Pixies take on Reading and Leeds

Pixies, Foo Fighters and Iron Maiden will headline this summer's Leeds and Reading festivals.

The trio of rock heavyweights will top the bill for the three-day events at Bramham Park, near Wetherby, and at Richfield Avenue, Reading. They are the Pixies' and Iron Maiden's only UK festival gigs, while Foo Fighters are also at T In The Park. The Killers, Razorlight and Queens of the Stone Age are also playing the twin festivals, to be held on 26-28 August. Other acts in this year's line-up include The Charlatans, Marilyn Manson and Kings of Leon. Pete Doherty's band Babyshamblers will appear on the NME/Radio One stage along with Kasabian, Black Rebel Motorcycle Club and Bloc Party.

Organiser Mean Fiddler said more acts were still to be confirmed for the summer event. ""We are all very excited to be going back to Reading and intend to have a fantastic time,"" said Iron Maiden's Bruce Dickinson. ""We're sure fans will too."" It will the first time the veteran British metal band have played Reading in 23 years. At Leeds, Iron Maiden will headline the first day of the festival on the Friday, Pixies will follow on Saturday and the Foo Fighters will close the event on Sunday. The Pixies will headline the first day of Reading, while Foo Fighters will play on Sunday and Iron Maiden will close the event. Weekend tickets are now on sale priced at £125 each.","Pixies, Foo Fighters and Iron Maiden will headline this summer's Leeds and Reading festivals. The Killers, Razorlight and Queens of the Stone Age are also playing the twin festivals, to be held on 26-28 August. Pete Doherty's band Babyshamblers will appear on the NME/Radio One stage along with Kasabian, Black Rebel Motorcycle Club and Bloc Party. Organiser Mean Fiddler said more acts were still to be confirmed for the summer event."
"Vera Drake leads UK Oscar hopes

Mike Leigh's film Vera Drake will lead British hopes at this year's Academy Awards after getting three nominations.

Imelda Staunton was nominated for best actress for her role in the abortion drama, while Leigh received nods for best director and original screenplay. Kate Winslet was also nominated in the best actress category for her role in Eternal Sunshine of the Spotless Mind. And Clive Owen and Sophie Okonedo both got nominated for supporting roles in Closer and Hotel Rwanda respectively. Owen has already been made bookmakers' favourite for best supporting actor for the role in Closer that has already clinched him a Golden Globe award.

And it is the first nomination for actress Okonedo, chosen for her performance in Hotel Rwanda, about the 1994 Rwandan genocide. It is also a debut nomination for Staunton, 49, who told BBC News 24 she had not thought the film would appeal to Academy voters. ""It was an extraordinary time making the film and I can't believe what has happened this morning,"" she said. ""I hope it just shows Mike up to be the extraordinary filmmaker he is. ""We are also dealing with a very difficult subject matter and it is amazing to have it accepted in this way."" Leigh, who had previously received three Oscar nominations for Secrets and Lies and Topsy Turvy, told BBC News 24 the latest success was ""amazing"". He said: ""We hoped that Imelda Staunton would get a nomination but I never expected to get director and screenplay. It's just absolutely wonderful.

""I think people are aware that it's about life - and I hope it is the warmth and compassion that really talks to people."" Winslet said she was ""ecstatic"" about the fourth nomination of her career. ""Being nominated means so much to me. To be nominated for a film that was released a while ago, I feel so honoured and overwhelmed,"" she said. John Woodward, chief executive of the UK Film Council, said it was ""extremely heartening"" to see British filmmaking talent recognised on the global stage. ""Britain has a hugely talented industry and these nominations show why National Lottery investment in film pays major dividends for our culture and economy."" Among a total of 24 British nominees, composer Andrew Lloyd Webber and lyricist Charles Hart are up for best original song for Learn To Be Lonely, from The Phantom of the Opera movie.

Cinematographer John Mathieson, who was nominated for Gladiator in 2001, is also up for The Phantom of the Opera. And Finding Neverland has garnered two more nominations for Brits. Gemma Jackson, who has also worked on Bridget Jones's Diary and Iris, is up for art direction while costume designer Alexandra Byrne, whose previous films have included Captain Corelli's Mandolin and Elizabeth, is in the running. The UK has two contenders in the best live action short film category. Wasp was made by ex-children's TV presenter Andrea Arnold while Little Terrorist is the work of Ashvin Kumar. This year's awards will be handed out in Hollywood on 27 February.","Mike Leigh's film Vera Drake will lead British hopes at this year's Academy Awards after getting three nominations. Imelda Staunton was nominated for best actress for her role in the abortion drama, while Leigh received nods for best director and original screenplay. Kate Winslet was also nominated in the best actress category for her role in Eternal Sunshine of the Spotless Mind. And Clive Owen and Sophie Okonedo both got nominated for supporting roles in Closer and Hotel Rwanda respectively. Owen has already been made bookmakers' favourite for best supporting actor for the role in Closer that has already clinched him a Golden Globe award. And it is the first nomination for actress Okonedo, chosen for her performance in Hotel Rwanda, about the 1994 Rwandan genocide. ""It was an extraordinary time making the film and I can't believe what has happened this morning,"" she said. Leigh, who had previously received three Oscar nominations for Secrets and Lies and Topsy Turvy, told BBC News 24 the latest success was ""amazing"". He said: ""We hoped that Imelda Staunton would get a nomination but I never expected to get director and screenplay. ""I think people are aware that it's about life - and I hope it is the warmth and compassion that really talks to people."" ""Being nominated means so much to me. To be nominated for a film that was released a while ago, I feel so honoured and overwhelmed,"" she said. John Woodward, chief executive of the UK Film Council, said it was ""extremely heartening"" to see British filmmaking talent recognised on the global stage. Among a total of 24 British nominees, composer Andrew Lloyd Webber and lyricist Charles Hart are up for best original song for Learn To Be Lonely, from The Phantom of the Opera movie. Gemma Jackson, who has also worked on Bridget Jones's Diary and Iris, is up for art direction while costume designer Alexandra Byrne, whose previous films have included Captain Corelli's Mandolin and Elizabeth, is in the running. The UK has two contenders in the best live action short film category."
"Moreno debut makes Oscar mark

Catalina Sandino Moreno has joined a rare group of actresses who have been nominated for an Oscar for starring in a foreign language film.

The Colombian-born actress was the final hope for director Joshua Marston, who scoured the US and Colombia for a lead for Maria Full of Grace. The film sees the 23-year-old play a teenage drug mule who smuggles heroin by swallowing pellets in condoms. Plaudits have been raining down on her for her gritty performance, making it all the more surprising that this is her first film. Her previous acting experience was in amateur productions in her home city of Bogota at the Ruben Di Pietro theatre academy. She has already received a nomination for the Independent Spirit Awards leading actress category but these rarely overlap with Academy Awards, instead recognising quirkier, low-budget films. And at the 2004 Berlin Film Festival the jury could not choose between her and Charlize Theron's Oscar winning performance in Monster so gave them a tied award. Sandino Moreno is now being regarded as one of the most promising actresses around at the moment. But she is taking her time committing to her next project, hoping to land a strong Spanish script and would love to be able to work with directors Pedro Almodovar or Alejandro Amenabar.","Moreno debut makes Oscar mark Catalina Sandino Moreno has joined a rare group of actresses who have been nominated for an Oscar for starring in a foreign language film. She has already received a nomination for the Independent Spirit Awards leading actress category but these rarely overlap with Academy Awards, instead recognising quirkier, low-budget films. And at the 2004 Berlin Film Festival the jury could not choose between her and Charlize Theron's Oscar winning performance in Monster so gave them a tied award."
"Bening makes awards breakthrough

Film actress Annette Bening is up for an Oscar for her starring role in the award-winning film Being Julia.

Bening, who was born in Texas in 1958, has gained prominence for a string of key roles. Although an Oscar has so far eluded her, her status as one of Hollywood's favourite actresses remains solid. One of the biggest Oscars buzzes in recent years was for Bening's role as troubled Carolyn Burnham in 1999's American Beauty. But her deliciously neurotic portrayal of surburban life turning sour was overlooked in favour of Hilary Swank's leading role in Boys Don't Cry. After opening her career in the theatre - and gaining a Tony Award nomination in 1986 - Bening had a low-key spell in television. She then made her film debut as a sex-starved wife in 1988's The Great Outdoors, opposite comics Dan Akroyd and John Candy.

Following a cameo in Postcards From The Edge, Bening's breakthrough role came in 1990, playing seductive con artist Myra Langtry in The Grifters - a role that won her an Oscar nomination. Despite some rave reviews, Bening did not win the best supporting actress Academy Award.

However the high-profile performance enabled Bening to capture roles in a number of big budget Hollywood productions, co-starring with some of Hollywood's greatest players, including Robert De Niro and Harrison Ford. But it was her role opposite Warren Beatty in 1991 gangster flick Bugsy which had the greatest impact. Bening played Virginia Hill, another role which won her high critical acclaim, but the film only picked up two of a staggering 12 Oscar nominations.

Bugsy was the start of a very significant liaison for Bening - she married Beatty, with whom she had a child as the couple promoted the film in Europe. The couple now have four children together. A pair of contrasting yet successful performances peppered Bening's career in the mid-1990s. She played Michael Douglas' opposite number in romantic comedy The American President, and as a ""fiery"" Queen Elizabeth I in a contemporary adaptation of Shakespeare's Richard III.

Bening was the first choice to play the female lead in American Beauty, director Sam Mendes' film debut which was a critical and commercial success - but the actress had to be content with a Bafta award for her strong performance. But current film Being Julia has made Bening an award-winning actress rather than the perennial nominee, with success at the Golden Globes. The witty tale of revenge and love set in 1930s London sees the eponymous theatrical diva - played by Bening - grow tired of her success and fall for a young American - and could be the role which finally wins her the coveted Academy Award.","Bening makes awards breakthrough Film actress Annette Bening is up for an Oscar for her starring role in the award-winning film Being Julia. Bening, who was born in Texas in 1958, has gained prominence for a string of key roles. Although an Oscar has so far eluded her, her status as one of Hollywood's favourite actresses remains solid. But her deliciously neurotic portrayal of surburban life turning sour was overlooked in favour of Hilary Swank's leading role in Boys Don't Cry. Following a cameo in Postcards From The Edge, Bening's breakthrough role came in 1990, playing seductive con artist Myra Langtry in The Grifters - a role that won her an Oscar nomination. However the high-profile performance enabled Bening to capture roles in a number of big budget Hollywood productions, co-starring with some of Hollywood's greatest players, including Robert De Niro and Harrison Ford. But it was her role opposite Warren Beatty in 1991 gangster flick Bugsy which had the greatest impact. Bening played Virginia Hill, another role which won her high critical acclaim, but the film only picked up two of a staggering 12 Oscar nominations. A pair of contrasting yet successful performances peppered Bening's career in the mid-1990s. Bening was the first choice to play the female lead in American Beauty, director Sam Mendes' film debut which was a critical and commercial success - but the actress had to be content with a Bafta award for her strong performance."
"Oscars steer clear of controversy

The Oscars nominations list has left out some of the most controversial films of the past year in favour of safer, less contentious cinema.

If best film nominees were drawn on the basis of column inches, two of the front-runners would have had to be Michael Moore's Bush-baiting documentary Fahrenheit 9/11 and Mel Gibson's The Passion of the Christ. Both films polarised opinion but had critics talking, and the public turning up to see them - Fahrenheit 9/11 breaking US box office records for a documentary, and The Passion of the Christ making more than US$370m (£196m) in the US alone. But this year's Academy Awards have shied away from the big name controversies, with The Passion of the Christ - a film accused of being anti-Semitic - receiving nominations only in the 'minor' categories of cinematography, makeup and musical score.

Fahrenheit 9/11 has also been overlooked, despite winning the Palme d'Or at the Cannes International Film Festival in 2004.

Moore's caustic documentary may have been affected by its distributors' decision to enter it in the best picture category, rather than best documentary, says Tim Dams, the news editor of trade magazine Screen International. But he also believes the strong political viewpoint of Moore's film does not sit well with the Academy. ""If you look at past Oscar winners and nominees, the very conservative Oscar voters tend to go for very conservative, epic-style pictures. Fahrenheit 9/11 didn't really fit in to that category. ""They tend to go for films like Titanic, Gladiator, and the Lord of the Rings, films with scale that often aren't too contentious,"" he said. While he said the Oscar voting panel were not ""snubbing"" Moore's film, he thought it was unlikely a documentary could ever seriously compete in a best film category. ""I think it's more a misjudgement by the people putting it out rather than a deliberate snub,"" he said.

The problem with Mel Gibson's film, he believed, was that the voting panel may have been cautious in nominating a film with dialogue in Aramaic, an ancient Middle Eastern language.

""Hollywood doesn't tend to like foreign-language films - no-one's ever tried doing a film in a dead language,"" he said. But aside from these two films, some potentially contentious pictures have won nominations. The German film The Downfall, a biopic tracing the final days of Nazi leader Adolf Hitler in his Berlin bunker, has been recognised in the best foreign film category. The film has caused some controversy in showing Hitler as a fallible but human man, rather than a semi-mythical, historical monster. But Mr Dams said: ""It's not an inflammatory film. It has done very well in Germany, and it's a film that portrays Hitler as a human rather than some kind of devil or monster."" Another 'contentious' film, Mr Dams said, has gained a nomination in the best documentary section through the force of its charm.

Independent film-maker Morgan Spurlock may have forced fast-food giant McDonalds to withdraw its 'super size' portions in the US after he went on a month-long diet eating nothing but McDonalds meals - and filmed his progress.

The film has been a hit around the world. Mr Dams said: ""It's a political film, but it's quite fun and punky and well-paced. ""Morgan Spurlock is a really likeable guy. It's a very accessible film, and it doesn't beat you over the head with its views. ""While in Fahrenheit 9/11 there are moments of comedy, I think the way that Super Size Me is put together - the fact it's a very likeable film - means it's won through on charm."" Dam's pick at this year's Oscars? The Aviator, Martin Scorsese's biopic of aviation pioneer and Hollywood player Howard Hughes. Tinseltown, it seems, likes nothing more than a picture about one of its own.","Oscars steer clear of controversy But this year's Academy Awards have shied away from the big name controversies, with The Passion of the Christ - a film accused of being anti-Semitic - receiving nominations only in the 'minor' categories of cinematography, makeup and musical score. Fahrenheit 9/11 has also been overlooked, despite winning the Palme d'Or at the Cannes International Film Festival in 2004. Moore's caustic documentary may have been affected by its distributors' decision to enter it in the best picture category, rather than best documentary, says Tim Dams, the news editor of trade magazine Screen International. ""They tend to go for films like Titanic, Gladiator, and the Lord of the Rings, films with scale that often aren't too contentious,"" he said. While he said the Oscar voting panel were not ""snubbing"" Moore's film, he thought it was unlikely a documentary could ever seriously compete in a best film category. The problem with Mel Gibson's film, he believed, was that the voting panel may have been cautious in nominating a film with dialogue in Aramaic, an ancient Middle Eastern language. The German film The Downfall, a biopic tracing the final days of Nazi leader Adolf Hitler in his Berlin bunker, has been recognised in the best foreign film category. But Mr Dams said: ""It's not an inflammatory film. It has done very well in Germany, and it's a film that portrays Hitler as a human rather than some kind of devil or monster."" The film has been a hit around the world. ""Morgan Spurlock is a really likeable guy. Dam's pick at this year's Oscars?"
"Kidman wins photographer battle

Actress Nicole Kidman has won a restraining order against two paparazzi photographers who she claims left her fearful of leaving her Sydney mansion.

The Oscar-winning star took action against Jamie Fawcett and Ben McDonald after a bugging device was found outside her home earlier this week. Lawyers for the pair denied allegations they had planted the device. The Australian actress is currently in Sydney to film her latest movie, Eucalyptus, with Russell Crowe. Kidman was prompted to take action following a reported high-speed car chase with members of the paparazzi in Sydney last weekend.

According to local newspaper the Daily Telegraph, the incident involved paparazzi driving through red lights and on the wrong side of the road in pursuit of Kidman's vehicle. Lawyers for Mr Fawcett and Mr McDonald denied that the pair were involved in the chase. Kidman sought the ""apprehended violence"" orders - normally used in Australia in cases of domestic violence and similar incidents - after being advised to do so by local police. ""Nicole would like to make it clear that she acknowledges she is a public figure and that reporters and photographers have a job to do and she respects that,"" said Kidman's publicist Wendy Day. ""However, these are specific actions against two individuals who, over a period of time, have caused her to feel threatened, intimidated and unable to leave her home without fearing for her safety."" Magistrate Lee Gilmore, who issued the restraining order at Waverley Local Court in Sydney, said she understood the photographers were entitled to earn a living but there had to be limits to their behaviour. ""Miss Kidman says she's willing to put up with some of it, but it's gone beyond that,"" she said. ""I do believe the allegation in relation to the driving is a serious issue.""","Kidman wins photographer battle Actress Nicole Kidman has won a restraining order against two paparazzi photographers who she claims left her fearful of leaving her Sydney mansion. Lawyers for the pair denied allegations they had planted the device. The Australian actress is currently in Sydney to film her latest movie, Eucalyptus, with Russell Crowe. According to local newspaper the Daily Telegraph, the incident involved paparazzi driving through red lights and on the wrong side of the road in pursuit of Kidman's vehicle. ""Nicole would like to make it clear that she acknowledges she is a public figure and that reporters and photographers have a job to do and she respects that,"" said Kidman's publicist Wendy Day."
"Bookmakers back Aviator for Oscar

The Aviator has been tipped by UK bookmakers as the favourite to win the best film award at this year's Oscars.

Ray star Jamie Foxx is clear favourite in the best actor category while Million Dollar Baby's Hilary Swank is tipped to win the best actress prize. Bookmakers predict Cate Blanchett will be named best supporting actress. William Hill and Ladbrokes have given The Aviator 4/9 and 8/13 odds of winning best film, with Million Dollar Baby in second place at 9/4.

Bet Direct and Bet 365 also tip The Aviator, with the majority of bookmakers regarding Finding Neverland as the outsider. The Aviator is also widely tipped to win the best director prize for Martin Scorsese. British star Clive Owen is second favourite at William Hill to take the best supporting actor award, for his performance in Closer. The favourite in that category is Sideways star Thomas Hayden Church. Vera Drake star Imelda Staunton has 5/1 odds of winning the best actress Oscar at Bet 365 and William Hill, ahead of fellow UK star Kate Winslet who has odds of 25/1 at William Hill.

Mike Leigh is the outsider in the best director category for Vera Drake, a position he holds jointly with Ray's Taylor Hackford at bookmakers VC Bet. This year's Academy Awards will be handed out in Hollywood on 27 February. X Factor judge Sharon Osbourne will present Sky television's live coverage of the event. Meanwhile, Clive Owen's best supporting actor nomination has led a bookmaker to shorten his odds of becoming the next James Bond. He has moved from 4/1 to 5/2 favourite to play 007, with Hugh Jackman and Ewan McGregor joint second favourite. ""Clive Owen's nomination has sparked a betting frenzy from James Bond fans, who feel that his heightened global recognition will have done his chances of becoming the next Bond a world of good,"" said William Hill spokesman Rupert Adams.","Bookmakers back Aviator for Oscar The Aviator has been tipped by UK bookmakers as the favourite to win the best film award at this year's Oscars. Ray star Jamie Foxx is clear favourite in the best actor category while Million Dollar Baby's Hilary Swank is tipped to win the best actress prize. Bookmakers predict Cate Blanchett will be named best supporting actress. Bet Direct and Bet 365 also tip The Aviator, with the majority of bookmakers regarding Finding Neverland as the outsider. The Aviator is also widely tipped to win the best director prize for Martin Scorsese. The favourite in that category is Sideways star Thomas Hayden Church. Vera Drake star Imelda Staunton has 5/1 odds of winning the best actress Oscar at Bet 365 and William Hill, ahead of fellow UK star Kate Winslet who has odds of 25/1 at William Hill. This year's Academy Awards will be handed out in Hollywood on 27 February. X Factor judge Sharon Osbourne will present Sky television's live coverage of the event. Meanwhile, Clive Owen's best supporting actor nomination has led a bookmaker to shorten his odds of becoming the next James Bond."
"Van Gogh festival film withdrawn

Murdered director Theo van Gogh's controversial film Submission has been pulled from the Rotterdam Film Festival because of security fears.

It was one of three of his works to be shown as part of a freedom of expression event in tribute to the late film-maker's life. The film is critical of the treatment of women under Islam. Its TV screening is thought to have led to his murder. The 10-day Dutch festival begins on Wednesday. Submission was made with liberal Somali-Dutch politician Ayaan Hirsi Ali and was due to be shown on 30 January. Van Gogh was shot and stabbed to death in November 2004 several months after receiving death threats following Submission's first broadcast on Dutch television. Two of Van Gogh's other films will be shown as planned, including the theatrical world premiere of his last feature 06/05.

Festival director Sandra den Hamer said: ""The festival reflects what happens around us and within cinema itself."" The festival opens with the French film The 10th District Court, Moments of Trials made by Raymond Depardon. The event sees 14 films competing to win three Top Tiger Awards which aim to introduce promising new talent. New sections added to this year's festival include Cinema of the Future and Cinema of the World, with special focus on Russian and south-east Asian productions. There is also an Iraqi-German offering entitled Underexposure, which looks at life in Iraq after Saddam Hussein.","Van Gogh festival film withdrawn Murdered director Theo van Gogh's controversial film Submission has been pulled from the Rotterdam Film Festival because of security fears. The 10-day Dutch festival begins on Wednesday. Submission was made with liberal Somali-Dutch politician Ayaan Hirsi Ali and was due to be shown on 30 January. Van Gogh was shot and stabbed to death in November 2004 several months after receiving death threats following Submission's first broadcast on Dutch television. Two of Van Gogh's other films will be shown as planned, including the theatrical world premiere of his last feature 06/05. The festival opens with the French film The 10th District Court, Moments of Trials made by Raymond Depardon. The event sees 14 films competing to win three Top Tiger Awards which aim to introduce promising new talent."
"Douglas set for Indian adventure

Actor Michael Douglas is to co-produce and star in an adventure film about a diamond robbery set in India.

The new picture is expected to be similar to Douglas's action films of the 1980s, Romancing The Stone and The Jewel Of The Nile. Another Hollywood star is being lined up to co-star, while the rest of the cast will be Indian. Aishwarya Rai, star of Bride and Prejudice, is the ""preferred choice"" of the Indian studio involved in the film.

On a visit to India, the 60-year-old actor said he hoped to start shooting Racing The Monsoon next year. Douglas added that it had been inspired by a Wall Street Journal article about India's 'angadias', who courier money and diamonds around India.

The actor's own production company, Further Films, is working in partnership with two Indian film-making concerns to bring the picture to the screen. Shailendra Singh, the founder of India's Percept Films, said there would be ""a lot of India"" in the movie - and that an Indian train would play a big role. ""The train will be a crucial part of the film. The chase and most of the stunts will be on the train,"" said Mr Singh. Swashbuckling adventure film Romancing The Stone saw Douglas's female co-star Kathleen Turner win a Golden Globe award for her performance in 1985.","Douglas set for Indian adventure Actor Michael Douglas is to co-produce and star in an adventure film about a diamond robbery set in India. The new picture is expected to be similar to Douglas's action films of the 1980s, Romancing The Stone and The Jewel Of The Nile. Another Hollywood star is being lined up to co-star, while the rest of the cast will be Indian. Aishwarya Rai, star of Bride and Prejudice, is the ""preferred choice"" of the Indian studio involved in the film. On a visit to India, the 60-year-old actor said he hoped to start shooting Racing The Monsoon next year. Douglas added that it had been inspired by a Wall Street Journal article about India's 'angadias', who courier money and diamonds around India. The actor's own production company, Further Films, is working in partnership with two Indian film-making concerns to bring the picture to the screen. ""The train will be a crucial part of the film. The chase and most of the stunts will be on the train,"" said Mr Singh."
"Russian film wins BBC world prize

Russian drama The Return (Vozvrashchenie) has been named winner of the BBC Four World Cinema Award.

The film tells the story of two adolescent boys who are subjected to a harsh regime when their strict father returns after a 10-year absence. Directed by Andrey Zvyagintsev, The Return previously won the 2003 Golden Lion award at the Venice Film Festival. The prize was presented at an awards ceremony held in London on Thursday and hosted by Jonathan Ross. The winner was chosen by a panel which included X Files actress Gillian Anderson, critic Roger Clarke and Touching the Void director Kevin McDonald.

Ross, who is the presenter of BBC One's Film 2005, was also involved in the deliberations. A shortlist of six films from around the world had been drawn up from which the panel chose. Other nominees included the Motorcycle Diaries, Zatoichi and Hero. A viewer poll saw director Zhang Yimou's martial arts epic Hero emerge as the favourite with 32% of votes cast. Tragedy struck the production of The Return when one of the young stars, 15-year-old Vladimir Girin, drowned in a lake. The winner of the World Cinema Award last year was the French animated feature Belleville Rendezvous","Russian drama The Return (Vozvrashchenie) has been named winner of the BBC Four World Cinema Award. Directed by Andrey Zvyagintsev, The Return previously won the 2003 Golden Lion award at the Venice Film Festival. The prize was presented at an awards ceremony held in London on Thursday and hosted by Jonathan Ross. The winner was chosen by a panel which included X Files actress Gillian Anderson, critic Roger Clarke and Touching the Void director Kevin McDonald. Ross, who is the presenter of BBC One's Film 2005, was also involved in the deliberations. A shortlist of six films from around the world had been drawn up from which the panel chose. A viewer poll saw director Zhang Yimou's martial arts epic Hero emerge as the favourite with 32% of votes cast. Tragedy struck the production of The Return when one of the young stars, 15-year-old Vladimir Girin, drowned in a lake. The winner of the World Cinema Award last year was the French animated feature Belleville Rendezvous"
"Incredibles win animation awards

The Incredibles movie has beaten Shrek 2 to the main prizes at Hollywood's animation awards, the Annies.

The superhero film was named best animated feature while Brad Bird won best director, writer and voice actor for his role as designer Edna Mode. The Incredibles won a total of 10 awards - but Shrek 2, which had seven nominations, went home empty-handed. The two movies will compete with Shark Tale in the best animated film category of the Oscars at the end of February.

The Incredibles' awards came despite Shrek 2's greater box office success. Shrek 2 took $881m (£468m) around the world, compared with $576m (£306m) for The Incredibles. SpongeBob SquarePants was named best animated TV show while TV comedy King of the Hill picked up two prizes including one for actress Brittany Murphy's voice work. Tom Kenny, who provides the voice for SpongeBob SquarePants, hosted Sunday's ceremony at the Alex Theater, Los Angeles. The awards are handed out by the International Animated Film Society. Finding Nemo won nine Annies last year.","Incredibles win animation awards The Incredibles movie has beaten Shrek 2 to the main prizes at Hollywood's animation awards, the Annies. The superhero film was named best animated feature while Brad Bird won best director, writer and voice actor for his role as designer Edna Mode. The Incredibles won a total of 10 awards - but Shrek 2, which had seven nominations, went home empty-handed. Shrek 2 took $881m (£468m) around the world, compared with $576m (£306m) for The Incredibles. SpongeBob SquarePants was named best animated TV show while TV comedy King of the Hill picked up two prizes including one for actress Brittany Murphy's voice work."
"Actor Scott is new Bond favourite

Bookmaker William Hill has stopped taking bets on who will be the next James Bond, following a succession of large wagers on actor Dougray Scott.

The firm closed the book on Friday, saying ""insider information"" could have contributed to the number of bets. ""In the past gambles like this have often been right,"" William Hill spokesman Rupert Adams said. The closing list gave Scott odds of 6-9, followed by Oscar nominee Clive Owen at 5-2. Scott first found fame in the TV series Soldier Soldier and has since then starred in such films as Mission Impossible II and the wartime drama Enigma.

Mr Adams said one punter had placed a bet of £870 on the 39-year-old actor at odds of 8-1. ""She told us she had some inside information, perhaps she knew he had been to a casting, but she wouldn't say,"" he said. Others thought to be in the running include Star Wars actor Ewan McGregor and Australian star Hugh Jackman, both of whom have odds of 4-1. Colin Farrell, Jude Law and Troy star Eric Bana have also been tipped for the role in the past.

A large number of bets on actor Colin Salmon to become the first black James Bond were dismissed as a publicity stunt a month ago. The next Bond film, originally due for release in 2005, has been delayed until 2006 due to Sony's takeover of the MGM studio. The most recent, Die Another Day, was released in late 2002 and saw Pierce Brosnan make his final appearance as the secret agent. The actor was originally due to make a fifth appearance as Bond, but was released from his contract in 2004.","Bookmaker William Hill has stopped taking bets on who will be the next James Bond, following a succession of large wagers on actor Dougray Scott. The closing list gave Scott odds of 6-9, followed by Oscar nominee Clive Owen at 5-2. Scott first found fame in the TV series Soldier Soldier and has since then starred in such films as Mission Impossible II and the wartime drama Enigma. Mr Adams said one punter had placed a bet of £870 on the 39-year-old actor at odds of 8-1. Others thought to be in the running include Star Wars actor Ewan McGregor and Australian star Hugh Jackman, both of whom have odds of 4-1. Colin Farrell, Jude Law and Troy star Eric Bana have also been tipped for the role in the past. A large number of bets on actor Colin Salmon to become the first black James Bond were dismissed as a publicity stunt a month ago. The most recent, Die Another Day, was released in late 2002 and saw Pierce Brosnan make his final appearance as the secret agent. The actor was originally due to make a fifth appearance as Bond, but was released from his contract in 2004."
